Gene	Title	Authors	Year	Link	RPKM	Log2FC	P	Shared locus
RAB8B	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			2.47E-07	
PRL	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			2.53E-07	
FBXL19	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			3.49E-07	
CKM	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			3.82E-07	
MARK4	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			4.02E-07	
ENAH	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			4.06E-07	
USP6	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			4.13E-07	
C14orf93	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			4.47E-07	
ZYX	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			7.21E-07	
TMEM184A	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			7.30E-07	
AGFG2	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			7.34E-07	
ERCC1	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			8.39E-07	
ERCC2	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			9.55E-07	
C6orf10	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			1.20E-06	
WDR12	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			1.22E-06	
BTNL2	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			1.33E-06	
BCL7C	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			1.39E-06	
SPPL2A	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			1.49E-06	
FERMT2	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			1.52E-06	
SCARA3	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			1.59E-06	
SLC39A13	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			1.63E-06	
ICA1L	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			1.67E-06	
CCDC6	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			1.78E-06	
WIPI2	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			1.80E-06	
CD3EAP	Genetic meta-analysis identifies 10 novel loci and functional pathways for Alzheimer's disease risk	Iris Jansen, Jeanne Savage, Kyoko Watanabe, Julien Bryois, Dylan Williams, Stacy Steinberg, Julia Sealock, Ida Karlsson, Sara Hagg, Lavinia Athanasiu, Nicola Voyle, Petroula Proitsi, Aree Witoelar, Sven Stringer, Dag Aarsland, Ina Almdahl, Fred Andersen, Sverre Bergh, Francesco Bettella, Sigurbjorn Bjornsson, Anne Braekhus, Geir Brathen, Christiaan de Leeuw, Rahul Desikan, Srdjan Djurovic, Logan Dumitrescu, Tormod Fladby, Timothy Homan, Palmi Jonsson, Arvid Rongve, Ingvild Saltvedt, Sigrid Sando, Geir Selbak, Nathan Skene, Jon Snaedal, Eystein Stordal, Ingun Ulstein, Yunpeng Wang, Linda White, Jens Hjerling-Leffler, Patrick Sullivan, Wiesje van der Flier, Richard Dobson, Lea Davis, Hreinn Stefansson, Kari Stefansson, Nancy Pedersen, Stephan Ripke, Ole Andreassen, Danielle Posthuma	2018	https://doi.org/10.1101/258533			1.82E-06	
