ensembl_gene_id	Gene.Symbol.x	glia.brain_logFC.x	P.Value	Gene.Symbol.y	glia.brain_logFC.y
ENSG00000107863	ARHGAP21	-0.411774986	1.11e-05	ARHGAP21	-0.41
ENSG00000107968	MAP3K8	4.123277563	1.02e-17	MAP3K8	4.12
ENSG00000108239	TBC1D12	1.135954393	7.87e-15	TBC1D12	1.14
ENSG00000108256	NUFIP2	0.700910852	9.47e-15	NUFIP2	0.7
ENSG00000108298	RPL19	0.836389416	2.05e-10	RPL19	0.84
ENSG00000108405	P2RX1	5.472386969	5.56e-15	P2RX1	5.47
ENSG00000108424	KPNB1	0.236194513	0.000177229	KPNB1	0.24
ENSG00000108465	CDK5RAP3	1.745688046	3.35e-19	CDK5RAP3	1.75
ENSG00000108518	PFN1	1.909467955	6.54e-22	PFN1	1.91
ENSG00000108556	CHRNE	3.552190587	2.67e-15	CHRNE	3.55
ENSG00000108588	CCDC47	0.569183538	6.95e-11	CCDC47	0.57
ENSG00000108599	AKAP10	0.815738702	3.37e-16	AKAP10	0.82
ENSG00000108639	SYNGR2	3.001374912	2.06e-24	SYNGR2	3
ENSG00000108654	DDX5	1.88279765	1.6e-23	DDX5	1.88
ENSG00000108691	CCL2	3.699907628	3.93e-07	CCL2	3.7
ENSG00000108700	CCL8	4.32767201	1.97e-13	CCL8	4.33
ENSG00000108773	KAT2A	1.284943948	1.74e-15	KAT2A	1.28
ENSG00000108798	ABI3	6.356915955	1.34e-28	ABI3	6.36
ENSG00000108819	PPP1R9B	-0.477829876	1.28e-05	PPP1R9B	-0.48
ENSG00000108848	LUC7L3	1.078868164	7.14e-14	LUC7L3	1.08
ENSG00000108953	YWHAE	-1.633619614	4.88e-33	YWHAE	-1.63
ENSG00000109046	WSB1	1.126374206	4.43e-16	WSB1	1.13
ENSG00000109436	TBC1D9	0.41243858	2.15e-06	TBC1D9	0.41
ENSG00000109475	RPL34	0.286199271	0.011497182	RPL34	0.29
ENSG00000109667	SLC2A9	4.170307671	2.06e-28	SLC2A9	4.17
ENSG00000109790	KLHL5	1.09214536	1.85e-15	KLHL5	1.09
ENSG00000109794	FAM149A	3.059127608	2.81e-30	FAM149A	3.06
ENSG00000109861	CTSC	4.302439519	8.15e-35	CTSC	4.3
ENSG00000109920	FNBP4	1.903120909	1.68e-27	FNBP4	1.9
ENSG00000109971	HSPA8	-0.830347438	7.26e-09	HSPA8	-0.83
ENSG00000110031	LPXN	2.079661211	1.43e-27	LPXN	2.08
ENSG00000110057	UNC93B1	5.016503453	6.26e-36	UNC93B1	5.02
ENSG00000110077	MS4A6A	5.578973391	5.75e-17	MS4A6A	5.58
ENSG00000110079	MS4A4A	4.915669224	1.3e-19	MS4A4A	4.92
ENSG00000110092	CCND1	2.810711332	1.74e-22	CCND1	2.81
ENSG00000110108	TMEM109	2.017991482	2.74e-24	TMEM109	2.02
ENSG00000110321	EIF4G2	-0.421256664	1.03e-08	EIF4G2	-0.42
ENSG00000110324	IL10RA	5.943128246	1.57e-32	IL10RA	5.94
ENSG00000110446	SLC15A3	5.201923761	3.32e-36	SLC15A3	5.2
ENSG00000110651	CD81	1.411621654	2.03e-18	CD81	1.41
ENSG00000110665	C11orf21	4.28002421	1.62e-09	C11orf21	4.28
ENSG00000110700	RPS13	0.035834908	0.717681791	RPS13	0.04
ENSG00000110719	TCIRG1	5.685203847	3.08e-31	TCIRG1	5.69
ENSG00000110721	CHKA	0.850072579	1.81e-08	CHKA	0.85
ENSG00000110848	CD69	5.364264029	1.18e-19	CD69	5.36
ENSG00000110876	SELPLG	6.196999805	2.99e-32	SELPLG	6.2
ENSG00000110934	BIN2	6.210022263	7.01e-32	BIN2	6.21
ENSG00000110944	IL23A	3.416186731	1.2e-17	IL23A	3.42
ENSG00000110955	ATP5B	-1.90779752	3.35e-31	ATP5B	-1.91
ENSG00000110958	PTGES3	-0.205764326	0.025885228	PTGES3	-0.21
ENSG00000111145	ELK3	3.573129718	1.24e-35	ELK3	3.57
ENSG00000111199	TRPV4	4.212038912	9.17e-18	TRPV4	4.21
ENSG00000111229	ARPC3	1.599216924	8.9e-26	ARPC3	1.6
ENSG00000111252	SH2B3	3.530978291	4.51e-35	SH2B3	3.53
ENSG00000111269	CREBL2	0.095998911	0.343803511	CREBL2	0.1
ENSG00000111321	LTBR	4.771330846	1.38e-34	LTBR	4.77
ENSG00000111348	ARHGDIB	4.15231885	1.25e-28	ARHGDIB	4.15
ENSG00000111640	GAPDH	-1.812200855	1.12e-24	GAPDH	-1.81
ENSG00000111642	CHD4	0.720722272	3.54e-14	CHD4	0.72
ENSG00000111644	ACRBP	4.129761616	7.91e-23	ACRBP	4.13
ENSG00000111669	TPI1	-0.999061695	5.14e-15	TPI1	-1
ENSG00000111679	PTPN6	5.90262239	5.87e-34	PTPN6	5.9
ENSG00000111846	GCNT2	4.061121754	1.15e-35	GCNT2	4.06
ENSG00000111897	SERINC1	-2.481088171	4.09e-41	SERINC1	-2.48
ENSG00000112033	PPARD	2.274837104	6.86e-29	PPARD	2.27
ENSG00000112081	SRSF3	0.680337064	5.68e-12	SRSF3	0.68
ENSG00000112149	CD83	1.795152314	9.04e-07	CD83	1.8
ENSG00000112195	TREML2	3.528224959	4.21e-14	TREML2	3.53
ENSG00000112299	VNN1	4.823357079	5.73e-15	VNN1	4.82
ENSG00000112303	VNN2	4.395909467	2.07e-13	VNN2	4.4
ENSG00000112306	RPS12	0.119873199	0.335839698	RPS12	0.12
ENSG00000112308	C6orf62	1.021064898	3.3e-22	C6orf62	1.02
ENSG00000112335	SNX3	-0.853646487	3.24e-13	SNX3	-0.85
ENSG00000112343	TRIM38	5.44538215	1.06e-41	TRIM38	5.45
ENSG00000112531	QKI	0.090947438	0.384726647	QKI	0.09
ENSG00000112697	TMEM30A	-1.255115311	1.13e-19	TMEM30A	-1.26
ENSG00000112739	PRPF4B	1.419933116	2.32e-23	PRPF4B	1.42
ENSG00000112759	SLC29A1	2.049513656	1.19e-21	SLC29A1	2.05
ENSG00000112773	FAM46A	3.345145796	9.98e-19	FAM46A	3.35
ENSG00000112799	LY86	5.212849901	1.91e-28	LY86	5.21
ENSG00000112818	MEP1A	5.628133453	4.99e-26	MEP1A	5.63
ENSG00000113013	HSPA9	-0.698399968	2.19e-13	HSPA9	-0.7
ENSG00000113249	HAVCR1	4.83311666	4.27e-23	HAVCR1	4.83
ENSG00000113504	SLC12A7	3.628989394	1.61e-33	SLC12A7	3.63
ENSG00000113532	ST8SIA4	3.48581964	1.76e-34	ST8SIA4	3.49
ENSG00000113555	PCDH12	4.743931089	9.95e-16	PCDH12	4.74
ENSG00000113600	C9	3.693583082	7.15e-24	C9	3.69
ENSG00000113732	ATP6V0E1	1.450682289	4.39e-16	ATP6V0E1	1.45
ENSG00000114013	CD86	5.722762877	2.95e-35	CD86	5.72
ENSG00000114251	WNT5A	3.478638923	8.77e-22	WNT5A	3.48
ENSG00000114316	USP4	1.594290816	3.04e-27	USP4	1.59
ENSG00000114353	GNAI2	1.983206103	2.87e-27	GNAI2	1.98
ENSG00000114391	RPL24	-0.047272084	0.612967027	RPL24	-0.05
ENSG00000114450	GNB4	2.452137561	6.55e-31	GNB4	2.45
ENSG00000114487	MORC1	5.4149246	4.77e-21	MORC1	5.41
ENSG00000114737	CISH	5.27413858	1.18e-19	CISH	5.27
ENSG00000114857	NKTR	1.246026486	1.25e-20	NKTR	1.25
ENSG00000114867	EIF4G1	0.174944568	0.011019408	EIF4G1	0.17
ENSG00000114942	EEF1B2	0.82571468	2.51e-09	EEF1B2	0.83
ENSG00000114978	MOB1A	2.31730761	1.29e-26	MOB1A	2.32
ENSG00000115008	IL1A	5.813791533	2.55e-21	IL1A	5.81
ENSG00000115053	NCL	0.197945205	0.025020135	NCL	0.2
ENSG00000115107	STEAP3	4.580783521	1.62e-26	STEAP3	4.58
ENSG00000115165	CYTIP	6.130253664	4.72e-27	CYTIP	6.13
ENSG00000115268	RPS15	-0.298775159	0.022015579	RPS15	-0.3
ENSG00000115307	AUP1	1.627636138	1.96e-23	AUP1	1.63
ENSG00000115310	RTN4	-1.976224467	4.26e-37	RTN4	-1.98
ENSG00000115318	LOXL3	4.864083628	7.93e-34	LOXL3	4.86
ENSG00000115325	DOK1	4.051473961	3.14e-33	DOK1	4.05
ENSG00000115355	CCDC88A	-0.055638623	0.517476405	CCDC88A	-0.06
ENSG00000115523	GNLY	4.079008367	0.000367999	GNLY	4.08
ENSG00000115524	SF3B1	1.227556097	6.22e-24	SF3B1	1.23
ENSG00000115590	IL1R2	3.666947387	1.44e-08	IL1R2	3.67
ENSG00000115738	ID2	0.18225181	0.195846094	ID2	0.18
ENSG00000115760	BIRC6	0.327494982	1.43e-07	BIRC6	0.33
ENSG00000115875	SRSF7	0.978752734	3.8e-13	SRSF7	0.98
ENSG00000115919	KYNU	5.217305816	4e-32	KYNU	5.22
ENSG00000115956	PLEK	5.384840205	6.34e-31	PLEK	5.38
ENSG00000116017	ARID3A	3.786364646	1.59e-41	ARID3A	3.79
ENSG00000116489	CAPZA1	0.988830824	6.1e-17	CAPZA1	0.99
ENSG00000116539	ASH1L	-0.496403081	6.31e-15	ASH1L	-0.5
ENSG00000116560	SFPQ	1.108000408	3.8e-18	SFPQ	1.11
ENSG00000116701	NCF2	5.403116796	2.33e-28	NCF2	5.4
ENSG00000116711	PLA2G4A	3.394495045	2.32e-32	PLA2G4A	3.39
ENSG00000116741	RGS2	2.365275575	2.11e-17	RGS2	2.37
ENSG00000116754	SRSF11	0.684737001	8.63e-09	SRSF11	0.68
ENSG00000116774	OLFML3	5.4751371	6.62e-22	OLFML3	5.48
ENSG00000116786	PLEKHM2	-0.543221873	1.55e-09	PLEKHM2	-0.54
ENSG00000116815	CD58	4.553910294	5.04e-32	CD58	4.55
ENSG00000116991	SIPA1L2	1.489796883	8.42e-19	SIPA1L2	1.49
ENSG00000117115	PADI2	1.91975012	6.34e-11	PADI2	1.92
ENSG00000117154	IGSF21	1.311788008	6.17e-11	IGSF21	1.31
ENSG00000117448	AKR1A1	1.956769003	7.22e-27	AKR1A1	1.96
ENSG00000117450	PRDX1	-1.15519222	1.1e-11	PRDX1	-1.16
ENSG00000117523	PRRC2C	1.070804314	3.18e-21	PRRC2C	1.07
ENSG00000117616	RSRP1	1.540704203	1.22e-22	RSRP1	1.54
ENSG00000117676	RPS6KA1	4.582357654	1.22e-47	RPS6KA1	4.58
ENSG00000117713	ARID1A	1.621917268	2.09e-28	ARID1A	1.62
ENSG00000117834	SLC5A9	3.327661797	1.6e-17	SLC5A9	3.33
ENSG00000117984	CTSD	0.945673661	1.52e-10	CTSD	0.95
ENSG00000118113	MMP8	4.212705414	1.1e-06	MMP8	4.21
ENSG00000118181	RPS25	0.140632403	0.241105693	RPS25	0.14
ENSG00000118217	ATF6	1.13902102	2.54e-18	ATF6	1.14
ENSG00000118308	LRMP	3.318084729	3.01e-34	LRMP	3.32
ENSG00000118418	HMGN3	-0.262022992	0.010552706	HMGN3	-0.26
ENSG00000118482	PHF3	0.352999188	3.1e-05	PHF3	0.35
ENSG00000118503	TNFAIP3	4.763071033	5.78e-24	TNFAIP3	4.76
ENSG00000118508	RAB32	3.700556247	3.83e-28	RAB32	3.7
ENSG00000118515	SGK1	2.680105209	2.36e-16	SGK1	2.68
ENSG00000118640	VAMP8	3.774871866	1.69e-25	VAMP8	3.77
ENSG00000118680	MYL12B	-0.219893953	0.020245078	MYL12B	-0.22
ENSG00000118705	RPN2	1.654940782	5.07e-22	RPN2	1.65
ENSG00000118707	TGIF2	3.906768532	1.77e-34	TGIF2	3.91
ENSG00000118785	SPP1	4.591557752	4.07e-21	SPP1	4.59
ENSG00000118816	CCNI	-2.025075251	1.25e-28	CCNI	-2.03
ENSG00000118855	MFSD1	2.311354374	4.69e-28	MFSD1	2.31
ENSG00000119321	FKBP15	2.767633	7.85e-34	FKBP15	2.77
ENSG00000119335	SET	-0.514469889	1.47e-09	SET	-0.51
ENSG00000119397	CNTRL	2.840992806	2.25e-33	CNTRL	2.84
ENSG00000119408	NEK6	1.670520259	8.04e-21	NEK6	1.67
ENSG00000119535	CSF3R	6.531951816	3.29e-35	CSF3R	6.53
ENSG00000119608	PROX2	5.502499105	5.21e-22	PROX2	5.5
ENSG00000119655	NPC2	2.395053297	1.11e-21	NPC2	2.4
ENSG00000119681	LTBP2	3.569204538	2.58e-16	LTBP2	3.57
ENSG00000119715	ESRRB	3.806200499	4.14e-14	ESRRB	3.81
ENSG00000119900	OGFRL1	0.467367953	0.000823373	OGFRL1	0.47
ENSG00000120063	GNA13	1.113720706	5.78e-10	GNA13	1.11
ENSG00000120129	DUSP1	3.544289698	6.67e-20	DUSP1	3.54
ENSG00000120254	MTHFD1L	3.323199472	2.08e-39	MTHFD1L	3.32
ENSG00000120280	CXorf21	5.927603041	9.96e-25	CXorf21	5.93
ENSG00000120457	KCNJ5	3.828126889	2.44e-14	KCNJ5	3.83
ENSG00000120594	PLXDC2	3.737372086	6.01e-38	PLXDC2	3.74
ENSG00000120690	ELF1	3.735422545	2.37e-35	ELF1	3.74
ENSG00000120694	HSPH1	-0.616922039	0.004319586	HSPH1	-0.62
ENSG00000120708	TGFBI	3.47733785	6.48e-12	TGFBI	3.48
ENSG00000120733	KDM3B	0.599670838	9.02e-11	KDM3B	0.6
ENSG00000120868	APAF1	2.994471523	1.17e-38	APAF1	2.99
ENSG00000120889	TNFRSF10B	4.483592399	8.88e-36	TNFRSF10B	4.48
ENSG00000120949	TNFRSF8	4.941156658	1.3e-22	TNFRSF8	4.94
ENSG00000121064	SCPEP1	2.1078782	3.04e-22	SCPEP1	2.11
ENSG00000121236	TRIM6	3.914490526	1.45e-17	TRIM6	3.91
ENSG00000121281	ADCY7	5.010076139	2.05e-45	ADCY7	5.01
ENSG00000121316	PLBD1	4.770276507	6.22e-25	PLBD1	4.77
ENSG00000121390	PSPC1	0.334862331	1.54e-06	PSPC1	0.33
ENSG00000121594	CD80	4.853944897	3.2e-20	CD80	4.85
ENSG00000121797	CCRL2	4.779351725	2.32e-25	CCRL2	4.78
ENSG00000121895	TMEM156	5.710256671	2.62e-30	TMEM156	5.71
ENSG00000121933	TMIGD3	5.384402538	8.38e-31	TMIGD3	5.38
ENSG00000121966	CXCR4	4.125355448	1.78e-10	CXCR4	4.13
ENSG00000122026	RPL21	0.027869018	0.786435509	RPL21	0.03
ENSG00000122122	SASH3	5.708974273	7.03e-34	SASH3	5.71
ENSG00000122218	COPA	-0.443298732	4.47e-10	COPA	-0.44
ENSG00000122406	RPL5	0.627392664	6.09e-09	RPL5	0.63
ENSG00000122566	HNRNPA2B1	1.422804373	1.54e-21	HNRNPA2B1	1.42
ENSG00000122861	PLAU	4.370184346	7.31e-19	PLAU	4.37
ENSG00000122862	SRGN	4.027408384	7.77e-18	SRGN	4.03
ENSG00000122884	P4HA1	2.356183814	2.68e-18	P4HA1	2.36
ENSG00000122965	RBM19	2.466363147	1.53e-31	RBM19	2.47
ENSG00000123095	BHLHE41	4.078570816	1.79e-36	BHLHE41	4.08
ENSG00000123104	ITPR2	3.166376783	2.26e-36	ITPR2	3.17
ENSG00000123329	ARHGAP9	4.502360228	9.35e-34	ARHGAP9	4.5
ENSG00000123338	NCKAP1L	5.569318398	4.08e-41	NCKAP1L	5.57
ENSG00000123384	LRP1	1.347712061	2.79e-22	LRP1	1.35
ENSG00000123416	TUBA1B	-1.328174941	8.86e-15	TUBA1B	-1.33
ENSG00000123609	NMI	3.669464542	7.55e-23	NMI	3.67
ENSG00000123685	BATF3	3.900778677	2.2e-25	BATF3	3.9
ENSG00000123933	MXD4	1.83856682	2.48e-19	MXD4	1.84
ENSG00000124126	PREX1	2.475007665	4.71e-31	PREX1	2.48
ENSG00000124151	NCOA3	2.000796211	5.31e-28	NCOA3	2
ENSG00000124193	SRSF6	0.973662238	1.42e-13	SRSF6	0.97
ENSG00000124222	STX16	0.904546025	8.07e-17	STX16	0.9
ENSG00000124256	ZBP1	4.297034844	7.58e-19	ZBP1	4.3
ENSG00000124357	NAGK	2.864815824	1.02e-35	NAGK	2.86
ENSG00000124469	CEACAM8	3.338043184	8.71e-09	CEACAM8	3.34
ENSG00000124549	BTN2A3P	4.617178947	2.14e-26	BTN2A3P	4.62
ENSG00000124570	SERPINB6	2.58272304	1.3e-32	SERPINB6	2.58
ENSG00000124575	HIST1H1D	2.420399527	1.85e-10	HIST1H1D	2.42
ENSG00000124614	RPS10	-0.197982307	0.092396725	RPS10	-0.2
ENSG00000124635	HIST1H2BJ	2.882101349	3.01e-14	HIST1H2BJ	2.88
ENSG00000124731	TREM1	4.972206203	9.22e-14	TREM1	4.97
ENSG00000124762	CDKN1A	4.251224451	5e-15	CDKN1A	4.25
ENSG00000124782	RREB1	4.646072899	5.9e-41	RREB1	4.65
ENSG00000124795	DEK	0.911643012	1.11e-15	DEK	0.91
ENSG00000124813	RUNX2	4.308774282	2.79e-37	RUNX2	4.31
ENSG00000125089	SH3TC1	6.043275398	4.07e-32	SH3TC1	6.04
ENSG00000125257	ABCC4	4.512996602	6.34e-42	ABCC4	4.51
ENSG00000125304	TM9SF2	0.624993079	3.42e-11	TM9SF2	0.62
ENSG00000125347	IRF1	4.525768416	7.39e-23	IRF1	4.53
ENSG00000125454	SLC25A19	3.422271747	3.36e-23	SLC25A19	3.42
ENSG00000125538	IL1B	6.449744221	8.45e-13	IL1B	6.45
ENSG00000125637	PSD4	3.765528767	6.88e-37	PSD4	3.77
ENSG00000125691	RPL23	0.735320459	2.37e-09	RPL23	0.74
ENSG00000125730	C3	5.670364861	4.9e-31	C3	5.67
ENSG00000125735	TNFSF14	4.940492314	1.42e-23	TNFSF14	4.94
ENSG00000125753	VASP	3.738447965	3.69e-28	VASP	3.74
ENSG00000125772	GPCPD1	1.264609876	8.84e-17	GPCPD1	1.26
ENSG00000125810	CD93	4.595067613	1.99e-15	CD93	4.6
ENSG00000125844	RRBP1	2.27846385	1.16e-30	RRBP1	2.28
ENSG00000125898	FAM110A	3.639607223	3.94e-21	FAM110A	3.64
ENSG00000125900	SIRPD	3.955999534	4.16e-14	SIRPD	3.96
ENSG00000126217	MCF2L	2.364269057	1.71e-29	MCF2L	2.36
ENSG00000126262	FFAR2	3.956736857	1.9e-13	FFAR2	3.96
ENSG00000126264	HCST	4.61808947	8.77e-20	HCST	4.62
ENSG00000126453	BCL2L12	3.538146274	3.38e-16	BCL2L12	3.54
ENSG00000126561	STAT5A	3.719036266	6.13e-39	STAT5A	3.72
ENSG00000126860	EVI2A	1.511895623	1.03e-09	EVI2A	1.51
ENSG00000126945	HNRNPH2	-0.608796931	3.77e-10	HNRNPH2	-0.61
ENSG00000127022	CANX	0.141905884	0.082346175	CANX	0.14
ENSG00000127084	FGD3	5.597755986	4.21e-32	FGD3	5.6
ENSG00000127483	HP1BP3	0.699593225	1.12e-08	HP1BP3	0.7
ENSG00000127507	ADGRE2	4.90228865	6.45e-11	ADGRE2	4.9
ENSG00000127603	MACF1	0.225003545	0.011409959	MACF1	0.23
ENSG00000127951	FGL2	5.358076742	4.5e-30	FGL2	5.36
ENSG00000128016	ZFP36	5.199690657	1.07e-20	ZFP36	5.2
ENSG00000128245	YWHAH	-1.17844126	2e-14	YWHAH	-1.18
ENSG00000128272	ATF4	0.458232683	0.000220793	ATF4	0.46
ENSG00000128340	RAC2	4.795578913	1.6e-22	RAC2	4.8
ENSG00000128394	APOBEC3F	4.265401014	3.53e-27	APOBEC3F	4.27
ENSG00000128512	DOCK4	2.292263136	7.1e-32	DOCK4	2.29
ENSG00000128524	ATP6V1F	-0.978230134	2.73e-11	ATP6V1F	-0.98
ENSG00000128604	IRF5	5.495296003	2.5e-37	IRF5	5.5
ENSG00000128805	ARHGAP22	4.269388354	1.89e-31	ARHGAP22	4.27
ENSG00000129003	VPS13C	1.304289914	1.34e-23	VPS13C	1.3
ENSG00000129071	MBD4	1.906545938	5.95e-24	MBD4	1.91
ENSG00000129204	USP6	3.59613994	3.85e-16	USP6	3.6
ENSG00000129226	CD68	5.402824483	4.7e-30	CD68	5.4
ENSG00000129450	SIGLEC9	6.219633429	9.33e-25	SIGLEC9	6.22
ENSG00000129465	RIPK3	5.505080193	3.29e-28	RIPK3	5.51
ENSG00000129534	MIS18BP1	3.156376041	9.47e-29	MIS18BP1	3.16
ENSG00000129562	DAD1	-0.176945805	0.183454242	DAD1	-0.18
ENSG00000129566	TEP1	3.988604017	2.78e-42	TEP1	3.99
ENSG00000129667	RHBDF2	6.548515208	2.33e-31	RHBDF2	6.55
ENSG00000129675	ARHGEF6	2.451907931	2.09e-28	ARHGEF6	2.45
ENSG00000130038	CRACR2A	3.514398764	8.51e-24	CRACR2A	3.51
ENSG00000130066	SAT1	3.639132858	5.7e-27	SAT1	3.64
ENSG00000130203	APOE	1.810026379	2.83e-12	APOE	1.81
ENSG00000130208	APOC1	3.732592178	1.03e-15	APOC1	3.73
ENSG00000130254	SAFB2	1.502411846	6.74e-21	SAFB2	1.5
ENSG00000130255	RPL36	-0.27535405	0.03441594	RPL36	-0.28
ENSG00000130270	ATP8B3	3.714423216	3.53e-17	ATP8B3	3.71
ENSG00000130300	PLVAP	6.468850022	3.9e-23	PLVAP	6.47
ENSG00000130303	BST2	3.232003504	4e-21	BST2	3.23
ENSG00000130309	COLGALT1	3.719505026	2.75e-42	COLGALT1	3.72
ENSG00000130429	ARPC1B	3.81943616	4.34e-31	ARPC1B	3.82
ENSG00000130449	ZSWIM6	1.446239954	8.87e-27	ZSWIM6	1.45
ENSG00000130487	KLHDC7B	3.789179594	3.63e-18	KLHDC7B	3.79
ENSG00000130522	JUND	0.535806031	0.000188565	JUND	0.54
ENSG00000130592	LSP1	4.581126693	1.53e-11	LSP1	4.58
ENSG00000130598	TNNI2	3.637916239	3.71e-16	TNNI2	3.64
ENSG00000130723	PRRC2B	0.293218924	0.000525699	PRRC2B	0.29
ENSG00000130741	EIF2S3	0.605573459	3.84e-10	EIF2S3	0.61
ENSG00000130755	GMFG	3.486517081	1.35e-22	GMFG	3.49
ENSG00000130775	THEMIS2	4.152437896	6.86e-19	THEMIS2	4.15
ENSG00000131042	LILRB2	6.409351582	1.43e-17	LILRB2	6.41
ENSG00000131051	RBM39	0.982807838	2.61e-22	RBM39	0.98
ENSG00000131080	EDA2R	4.061025296	2.82e-16	EDA2R	4.06
ENSG00000131171	SH3BGRL	0.126110476	0.214710101	SH3BGRL	0.13
ENSG00000131196	NFATC1	3.998004032	1.94e-31	NFATC1	4
ENSG00000131236	CAP1	1.394636932	9.06e-22	CAP1	1.39
ENSG00000131238	PPT1	0.67950082	2.67e-07	PPT1	0.68
ENSG00000131401	NAPSB	4.865064513	8.57e-08	NAPSB	4.87
ENSG00000131446	MGAT1	2.422011068	7.93e-27	MGAT1	2.42
ENSG00000131469	RPL27	0.316380615	0.005985186	RPL27	0.32
ENSG00000131669	NINJ1	3.175247164	2.97e-31	NINJ1	3.18
ENSG00000131724	IL13RA1	4.194914745	6.11e-31	IL13RA1	4.19
ENSG00000131778	CHD1L	1.139026787	1.92e-20	CHD1L	1.14
ENSG00000132002	DNAJB1	1.872021192	1.07e-07	DNAJB1	1.87
ENSG00000132256	TRIM5	3.603455823	1.47e-27	TRIM5	3.6
ENSG00000132274	TRIM22	4.818735727	2.77e-36	TRIM22	4.82
ENSG00000132334	PTPRE	2.591905799	2.52e-35	PTPRE	2.59
ENSG00000132357	CARD6	3.901155482	1.5e-29	CARD6	3.9
ENSG00000132405	TBC1D14	1.152613028	2.69e-10	TBC1D14	1.15
ENSG00000132424	PNISR	1.163062651	1.12e-15	PNISR	1.16
ENSG00000132475	H3F3B	0.510639367	4.28e-05	H3F3B	0.51
ENSG00000132530	XAF1	3.250634487	3.63e-21	XAF1	3.25
ENSG00000132669	RIN2	2.816823641	6.83e-28	RIN2	2.82
ENSG00000132744	ACY3	5.189359312	4.29e-16	ACY3	5.19
ENSG00000132965	ALOX5AP	5.346852243	3.21e-28	ALOX5AP	5.35
ENSG00000133055	MYBPH	5.222882801	3.85e-18	MYBPH	5.22
ENSG00000133063	CHIT1	3.999201716	7.31e-18	CHIT1	4
ENSG00000133106	EPSTI1	4.285403131	1.64e-25	EPSTI1	4.29
ENSG00000133112	TPT1	1.631393659	8.45e-22	TPT1	1.63
ENSG00000133246	PRAM1	6.211884972	3.78e-29	PRAM1	6.21
ENSG00000133275	CSNK1G2	0.997258795	1.77e-15	CSNK1G2	1
ENSG00000133316	WDR74	-1.437200823	1.51e-09	WDR74	-1.44
ENSG00000133561	GIMAP6	3.459606976	3.12e-25	GIMAP6	3.46
ENSG00000133574	GIMAP4	4.527727994	4.52e-27	GIMAP4	4.53
ENSG00000133639	BTG1	2.484897603	7.55e-27	BTG1	2.48
ENSG00000133800	LYVE1	5.274406288	1.74e-13	LYVE1	5.27
ENSG00000133805	AMPD3	2.781656772	9.89e-34	AMPD3	2.78
ENSG00000133858	ZFC3H1	1.574299668	8.28e-29	ZFC3H1	1.57
ENSG00000133872	SARAF	-1.111311094	1.65e-18	SARAF	-1.11
ENSG00000133874	RNF122	4.117109389	2.77e-18	RNF122	4.12
ENSG00000134061	CD180	5.441260069	1.61e-22	CD180	5.44
ENSG00000134186	PRPF38B	2.868007361	5.32e-30	PRPF38B	2.87
ENSG00000134207	SYT6	3.860801522	6.41e-23	SYT6	3.86
ENSG00000134243	SORT1	-0.963861972	9.64e-14	SORT1	-0.96
ENSG00000134294	SLC38A2	0.2504268	0.005536174	SLC38A2	0.25
ENSG00000134352	IL6ST	1.327111475	2.78e-18	IL6ST	1.33
ENSG00000134470	IL15RA	3.541285207	6.32e-23	IL15RA	3.54
ENSG00000134480	CCNH	0.995609644	2.87e-15	CCNH	1
ENSG00000134516	DOCK2	6.23275198	2.81e-43	DOCK2	6.23
ENSG00000134571	MYBPC3	4.938493038	1.88e-25	MYBPC3	4.94
ENSG00000134574	DDB2	3.520792574	4.84e-29	DDB2	3.52
ENSG00000134644	PUM1	0.11085796	0.026787315	PUM1	0.11
ENSG00000134686	PHC2	2.025624103	2.28e-18	PHC2	2.03
ENSG00000134755	DSC2	3.593823643	4.23e-21	DSC2	3.59
ENSG00000134802	SLC43A3	3.824442599	1.09e-26	SLC43A3	3.82
ENSG00000134830	C5AR2	4.067798056	9.69e-22	C5AR2	4.07
ENSG00000134884	ARGLU1	0.904567293	3.96e-12	ARGLU1	0.9
ENSG00000134955	SLC37A2	5.725563349	1.19e-25	SLC37A2	5.73
ENSG00000134996	OSTF1	0.635620732	4.12e-07	OSTF1	0.64
ENSG00000135047	CTSL	1.35409202	3.5e-19	CTSL	1.35
ENSG00000135077	HAVCR2	5.226748006	1.62e-37	HAVCR2	5.23
ENSG00000135124	P2RX4	3.572615881	1.91e-37	P2RX4	3.57
ENSG00000135363	LMO2	2.507182507	3.06e-24	LMO2	2.51
ENSG00000135378	PRRG4	4.903394111	8.45e-25	PRRG4	4.9
ENSG00000135404	CD63	0.85792986	2.09e-11	CD63	0.86
ENSG00000135486	HNRNPA1	1.019385044	4.43e-16	HNRNPA1	1.02
ENSG00000135506	OS9	1.824565662	3.05e-27	OS9	1.82
ENSG00000135535	CD164	1.33714808	2.92e-25	CD164	1.34
ENSG00000135596	MICAL1	3.414634562	2.99e-35	MICAL1	3.41
ENSG00000135604	STX11	4.173064842	1.14e-16	STX11	4.17
ENSG00000135677	GNS	1.338977359	4.17e-18	GNS	1.34
ENSG00000135723	FHOD1	4.639862822	7.95e-33	FHOD1	4.64
ENSG00000135821	GLUL	-0.661574121	3.69e-05	GLUL	-0.66
ENSG00000135829	DHX9	0.283879521	6.14e-06	DHX9	0.28
ENSG00000135837	CEP350	1.020683343	4.09e-16	CEP350	1.02
